"sample_id","biosample","sample_name","sra","organism","collection_date","geographic_location","tissue","collected_by","isolate","isolation_source","lat_long","lat","lon","accession","id"
"1: PL8","SAMN30219899","AWJG03H12","SRS14596090","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG03H12","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219899","30219899"
"SF99-36-4","SAMN30219898","AWJG03G12","SRS14596089","Haliotis rufescens","1999-10-22","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03G12","Trinidad","41.05053333 N 124.15049166 W",41.05053333,-124.15049166,"SAMN30219898","30219898"
"SF07-7-8","SAMN30219897","AWJG03E12","SRS14596088","Haliotis rufescens","2007-08-06","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03E12","Timber Cove","38.530525 N 123.27260555 W",38.530525,-123.27260555,"SAMN30219897","30219897"
"SF07-3-12","SAMN30219896","AWJG03D12","SRS14596087","Haliotis rufescens","2007-02-05","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03D12","VanDamme","39.26975833 N 123.79865833 W",39.26975833,-123.79865833,"SAMN30219896","30219896"
"PO2147","SAMN30219895","AWJG03C12","SRS14596086","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03C12","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219895","30219895"
"HC2121","SAMN30219894","AWJG03B12","SRS14596085","Haliotis rufescens","2021-05-28","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03B12","Brookings, Hooskanaden Creek","42.2217 N 124.3813 W",42.2217,-124.3813,"SAMN30219894","30219894"
"H13","SAMN30219893","AWJG03A12","SRS14596084","Haliotis rufescens","2011-02-02","USA:California","epipodial","De Wit/Lee/Leary","Haliotis_rufescens_AWJG03A12","Hopkins (Monterey)","36.62073333 N 121.90196666 W",36.62073333,-121.90196666,"SAMN30219893","30219893"
"SF11-27-9","SAMN30219892","AWJG03G11","SRS14596010","Haliotis rufescens","2011-08-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03G11","Salt Point","38.563975 N 123.33383888 W",38.563975,-123.33383888,"SAMN30219892","30219892"
"SF07-3-17","SAMN30219891","AWJG03F11","SRS14596009","Haliotis rufescens","2007-02-05","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG03F11","VanDamme","39.26975833 N 123.79865833 W",39.26975833,-123.79865833,"SAMN30219891","30219891"
"RR2101","SAMN30219890","AWJG03E11","SRS14596008","Haliotis rufescens","2021-05-21","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG03E11","Rogue Reef, Gold Beach","42.2638 N 124.2802 W",42.2638,-124.2802,"SAMN30219890","30219890"
