Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR20993854,WGS,302,20369559948,PRJNA867688,SAMN30219899,Invertebrate,6569239520,UCLA,Ian Taniguchi,2021-05-18,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17010953,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG03H12,Point Loma,32.67363333 N 117.24614722 W,AWJG03H12,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:10:00Z,1,AWJG03H12,SRP390753,epipodial
SRR20993855,WGS,302,27856465806,PRJNA867688,SAMN30219898,Invertebrate,8768569325,UCLA,"SHL\, BML",1999-10-22,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX17010952,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG03G12,Trinidad,41.05053333 N 124.15049166 W,AWJG03G12,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:10:00Z,1,AWJG03G12,SRP390753,epipodial
SRR20993856,WGS,302,22269357086,PRJNA867688,SAMN30219897,Invertebrate,7090006334,UCLA,"SHL\, BML",2007-08-06,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX17010951,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG03E12,Timber Cove,38.530525 N 123.27260555 W,AWJG03E12,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T18:42:00Z,1,AWJG03E12,SRP390753,epipodial
SRR20993857,WGS,302,21902456380,PRJNA867688,SAMN30219896,Invertebrate,6926835969,UCLA,"SHL\, BML",2007-02-05,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX17010950,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG03D12,VanDamme,39.26975833 N 123.79865833 W,AWJG03D12,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:56:00Z,1,AWJG03D12,SRP390753,epipodial
SRR20993858,WGS,302,21022868696,PRJNA867688,SAMN30219895,Invertebrate,6779004869,UCLA,ODFW,2021-06-17,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX17010949,USA,North America,USA:Oregon,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG03C12,"Port Orford\, Nellie's Cove",42.4414 N 124.3025 W,AWJG03C12,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:47:00Z,1,AWJG03C12,SRP390753,epipodial
SRR20993859,WGS,302,26365756962,PRJNA867688,SAMN30219894,Invertebrate,8394948463,UCLA,ODFW,2021-05-28,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX17010948,USA,North America,USA:Oregon,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG03B12,"Brookings\, Hooskanaden Creek",42.2217 N 124.3813 W,AWJG03B12,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:02:00Z,1,AWJG03B12,SRP390753,epipodial
SRR20993860,WGS,302,6357236806,PRJNA867688,SAMN30219893,Invertebrate,2140677066,UCLA,De Wit/Lee/Leary,2011-02-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX17010947,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG03A12,Hopkins (Monterey),36.62073333 N 121.90196666 W,AWJG03A12,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:29:00Z,1,AWJG03A12,SRP390753,epipodial
SRR20993886,WGS,302,21924853606,PRJNA867688,SAMN30219847,Invertebrate,7065700576,UCLA,ODFW,2021-05-26,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX17010921,USA,North America,USA:Oregon,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG03F05,"Charleston\, South Cove",43.34013888 N 124.37816111 W,AWJG03F05,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:18:00Z,1,AWJG03F05,SRP390753,epipodial
SRR20993887,WGS,302,24950708178,PRJNA867688,SAMN30219846,Invertebrate,8140962535,UCLA,ODFW,2021-05-26,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX17010920,USA,North America,USA:Oregon,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG03E05,"Brookings\, Lone Ranch",42.0558 N 124.2057 W,AWJG03E05,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:00:00Z,1,AWJG03E05,SRP390753,epipodial
SRR20993888,WGS,302,28164699086,PRJNA867688,SAMN30219845,Invertebrate,9194851784,UCLA,Fabiola Lafarga,2014,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX17010919,Mexico,North America,Mexico:Baja California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG03D05,Santo Tomas,31.54910277 N 116.68323611 W,AWJG03D05,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:15:00Z,1,AWJG03D05,SRP390753,epipodial
