sample_name,species,ecotype,stage,region,sex,tissue,lat,lon,phylum,class,order,family,genus,georef,country,state
EFR22_278,G. eurystoma,sulfidic,adult,Banos el Azufre,M,skeletal  muscle,17.552 N,92.998 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_283,G. eurystoma,sulfidic,adult,Banos el Azufre,M,skeletal  muscle,17.552 N,92.998 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_281,G. eurystoma,sulfidic,adult,Banos el Azufre,F,skeletal  muscle,17.552 N,92.998 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_288,G. eurystoma,sulfidic,adult,Banos el Azufre,F,skeletal  muscle,17.552 N,92.998 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_287,G. eurystoma,sulfidic,adult,Banos el Azufre,M,skeletal  muscle,17.552 N,92.998 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_290,G. eurystoma,sulfidic,adult,Banos el Azufre,F,skeletal  muscle,17.552 N,92.998 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_286,G. eurystoma,sulfidic,adult,Banos el Azufre,M,skeletal  muscle,17.552 N,92.998 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_289,G. eurystoma,sulfidic,adult,Banos el Azufre,M,skeletal  muscle,17.552 N,92.998 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_285,G. eurystoma,sulfidic,adult,Banos el Azufre,F,skeletal  muscle,17.552 N,92.998 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_284,G. eurystoma,sulfidic,adult,Banos el Azufre,M,skeletal  muscle,17.552 N,92.998 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_339,G. sexradiata,non-sulfidic,adult,Gravel Pit,F,skeletal  muscle,17.589651 N,92.980309 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_338,G. sexradiata,non-sulfidic,adult,Gravel Pit,F,skeletal  muscle,17.589651 N,92.980309 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_352,G. sexradiata,non-sulfidic,adult,Gravel Pit,M,skeletal  muscle,17.589651 N,92.980309 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_355,G. sexradiata,non-sulfidic,adult,Gravel Pit,M,skeletal  muscle,17.589651 N,92.980309 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_356,G. sexradiata,non-sulfidic,adult,Gravel Pit,M,skeletal  muscle,17.589651 N,92.980309 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_336,G. sexradiata,non-sulfidic,adult,Gravel Pit,F,skeletal  muscle,17.589651 N,92.980309 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_357,G. sexradiata,non-sulfidic,adult,Gravel Pit,M,skeletal  muscle,17.589651 N,92.980309 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_353,G. sexradiata,non-sulfidic,adult,Gravel Pit,M,skeletal  muscle,17.589651 N,92.980309 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_340,G. sexradiata,non-sulfidic,adult,Gravel Pit,F,skeletal  muscle,17.589651 N,92.980309 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_342,G. sexradiata,non-sulfidic,adult,Gravel Pit,F,skeletal  muscle,17.589651 N,92.980309 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
EFR22_319,G. sexradiata,sulfidic,adult,Mogote de Puyacatengo,F,skeletal  muscle,17.582 N,92.899 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,GPS,Mexico,Tabasco
