sample_name,species,isolate,habitat,stage,year,region,sex,tissue,lat,lon,phylum,class,order,family,georef,country,state
MX13-001,Poecilia mexicana,MX13-001,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,F,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-003,Poecilia mexicana,MX13-003,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,F,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-004,Poecilia mexicana,MX13-004,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,F,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-005,Poecilia mexicana,MX13-005,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,M,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-006,Poecilia mexicana,MX13-006,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,F,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-007,Poecilia mexicana,MX13-007,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,F,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-015,Poecilia mexicana,MX13-015,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,M,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-016,Poecilia mexicana,MX13-016,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,M,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-017,Poecilia mexicana,MX13-017,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,M,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-018,Poecilia mexicana,MX13-018,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,F,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-019,Poecilia mexicana,MX13-019,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,M,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-020,Poecilia mexicana,MX13-020,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,M,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-021,Poecilia mexicana,MX13-021,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,F,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
MX13-024,Poecilia mexicana,MX13-024,Fresh,adult,2013,Mexico: Pichucalco  - site Rosita,F,muscle,17.48511 N,93.10358 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Pichucalco
