### Dataset metadata																										
Field name:	Value:	Description of each field:	Type:	Comment:	Required?																					
RepAdaptID	rawg0041	A unique identifier given to the dataset in the RepAdapt project. Use the link below to look up your ID.	Text	Look up your ID in the linked spreadsheet: https://docs.google.com/spreadsheets/d/1HEUQKbBVo8bhT4gF269A8Yz7Jq3OBOHwxYzcRB1fYWs/edit?gid=0#gid=0. This term is not Darwin Core.	REQUIRED																					
keywords	H2S | freshwater | fish	Keywords associated with the dataset.	Text	Recommended best practice is to separate the values in a list with space vertical bar space ( | ). This term in not Darwin Core.																						
bibliographicCitation		A bibliographic reference for the resource.	Text	Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.																						
institutionCode	UCSC	The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.	Text	See: http://rs.tdwg.org/dwc/terms/institutionCode																						
collectionRemarks	Not a collection	"Comments or notes about whether this data comes from samples that are stored in a collection, loaned from a collection, etc."	Text	This term is not Darwin Core.																						
permitRemarks	Mexican federal agencies DG0PA.090004.041111.3088; SGPA-DGVS-04315; PRMN/DG0PA-003	Any relevant permit information or comments.	Text	This term is not Darwin Core.																						
people	sbogan@skidmore.edu | jokelley@ucsc.edu	Emails of people associated with the dataset.	Email	Recommended best practice is to separate the values in a list with space vertical bar space ( | ). This term is not Darwin Core.																						
																										
### Sample metadata																										
Section:	Identifiers			Taxon / Identification			Location									Record-level: Sample		Record-level: Measurement								
Description of each field:	A unique identifier given to the entry in this metadata project.	A unique identifier given to the sample.	A unique identifier given to the population the sample belongs to.	"The full scientific name, this should be the name in the lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the dwc:identificationRemarks."	An identifier for the nomenclatural (not taxonomic) details of a scientific name.	Comments or notes about the dwc:Identification.	A spatial region or named place.	A list (concatenated and separated) of geographic names less specific than the information captured in the dcterms:Location term.	The standard code for the country in which the dcterms:Location occurs.	"The geographic latitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum) of the geographic center of a dcterms:Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive."	"The geographic longitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum) of the geographic center of a dcterms:Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive."	"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in dwc:decimalLatitude and dwc:decimalLongitude are based."	"The horizontal distance (in meters) from the given dwc:decimalLatitude and dwc:decimalLongitude describing the smallest circle containing the whole of the dcterms:Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term."	The original description of the depth below the local surface.	Comments or notes about the dcterms:Location.	The date-time or interval during which this data was recorded.	Comments or notes about the sample data.	Your definition of the described trait. Include units in this definition.	Your definition of the described trait. Include units in this definition.	Comments or notes about the measurement data. Include other relevent data here.						
Type:	Text	Text	Integer	Text	Text	Text	Text	Text	Text	Decimal	Decimal	Text	Decimal	Text	Text	DateTime	Text	"H2S environment: ""non-sulfidic"" = non-sulfidic environment; ""sulfidic"" = sulfidic (H2S) environment"	"Sex: ""M"" = male; ""F"" = female"	Text						
Comment:	Look up your ID in the linked spreadsheet. This term is not Darwin Core.	"Recommended best practice is to use a persistent, globally unique identifier. This term is not Darwin Core."	This information might be used for population structure correction. The population IDs may correspond to the different locations (latitude/longitude) for your samples.	"Names should be compliant to the most recent nomenclatural code. Thus, use the multiplication sign _ to identify a hybrid, not x or X, if possible."	GBIF or WORMS link.	"Such as method of identification, identification confidence, etc."		"Recommended best practice is to separate the values in a list with space vertical bar space ( | ), with terms in order from least specific to most specific."	"Recommended best practice is to use an ISO 3166-1-alpha-2 country code, or ""ZZ"" (for an unknown location or a location unassignable to a single country code), or ""XY"" (for the high seas beyond national jurisdication)."			"Most devices collect WGS84, but please indicate if you use a different system. If unknown, use the value ""unknown"". "				Recommended best practice is to use a date that conforms to ISO 8601-1:2019.	This term is not Darwin Core.	Recommended to include a link or figure citation from a peer reviewed scientific paper to define the trait. This term is not Darwin Core.	Recommended to include a link or figure citation from a peer reviewed scientific paper to define the trait. This term is not Darwin Core.							
Controlled vocabulary:	https://docs.google.com/spreadsheets/d/1HEUQKbBVo8bhT4gF269A8Yz7Jq3OBOHwxYzcRB1fYWs/edit?gid=0#gid=0				https://www.gbif.org/species/search?q=  https://www.marinespecies.org/aphia.php?p=search  				https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2#US			"""WGS84"": A global datum widely used for                  GPS and other navigation systems. ""NAD83"": A datum used in North America. ""NAVD88"": A vertical datum used in North                   America for measuring heights."				https://en.wikipedia.org/wiki/ISO_8601										
Relevent link(s):				http://rs.tdwg.org/dwc/terms/scientificName	http://rs.tdwg.org/dwc/terms/scientificNameID	http://rs.tdwg.org/dwc/terms/identificationRemarks	http://purl.org/dc/terms/Location	http://rs.tdwg.org/dwc/terms/locality	http://rs.tdwg.org/dwc/terms/countryCode	http://rs.tdwg.org/dwc/terms/decimalLatitude 	http://rs.tdwg.org/dwc/terms/decimalLongitude	http://rs.tdwg.org/dwc/terms/geodeticDatum	http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters	http://rs.tdwg.org/dwc/terms/verbatimDepth	http://rs.tdwg.org/dwc/terms/locationRemarks 	http://rs.tdwg.org/dwc/terms/eventDate 										
Required?	REQUIRED	REQUIRED	REQUIRED	REQUIRED	REQUIRED		REQUIRED	REQUIRED	REQUIRED	REQUIRED	REQUIRED	REQUIRED				REQUIRED										
Field name:	RepAdaptID	sampleID	populationID	scientificName	scientificNameID	identificationRemarks	Location	locality	countryCode	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimDepth	locationRemarks	eventDate	generalRemarks	YOUR_trait1_units	YOUR_trait2_units	measurementRemarks						
	rawg0041	MX13-004_S91_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-005_S92_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-006_S93_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-007_S94_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-015_S95_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-016_S96_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-017_S97_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-018_S98_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-019_S99_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-020_S100_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-021_S101_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-024_S102_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-026_S103_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-029_S104_L004	pop01	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.48511	-93.10358	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-031_S57_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-033_S58_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
	rawg0041	MX13-035_S59_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-038_S60_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	M	male from non-H2S spring						
	rawg0041	MX13-042_S61_L004	pop02	Poecilia mexicana	GBIFtaxonID:8400492	Michi Tobler	Pichucalco	Chiapas	MX	17.556	-93.008	unknown				2013-01-01	Only year provided	non-sulfidic	F	female from non-H2S spring						
